id	nm	lat	lon	countryCode
1864624	Chigasaki	35.32611	139.4039	JP
1857910	Kyoto	35.02107	135.7538	JP
2112923	Fukushima-shi	37.75	140.4678	JP
1858729	Koshigaya	35.88333	139.7833	JP
1856697	Miyoshi	35.08333	137.0667	JP
1848254	Yono	35.88333	139.6333	JP
1849876	Toyama-shi	36.69528	137.2114	JP
1854629	Ogori	34.1	131.4	JP
1863289	Hamamatsu	34.7	137.7333	JP
1907300	Wako	35.78944	139.6233	JP
1864518	Chofu	35.65556	139.5522	JP
1850158	Tokushima-shi	34.06583	134.5594	JP
1862415	Hiroshima-shi	34.39627	132.4594	JP
1860234	Kanda	33.78333	130.9833	JP
1850910	Takatsuki	34.84833	135.6168	JP
1855891	Nakamura	32.98333	132.9333	JP
1863641	Gifu-shi	35.42291	136.7604	JP
1853574	Otsu-shi	35.00444	135.8683	JP
2110891	Takahata	38.0025	140.1911	JP
2110556	Yamagata-shi	38.24056	140.3633	JP
1864092	Fujisawa	35.34194	139.47	JP
2128295	Sapporo-shi	43.06417	141.3469	JP
1860437	Kami-renjaku	35.68333	139.55	JP
1859884	Kasukabe	35.97639	139.7536	JP
1863905	Funabashi	35.69306	139.9833	JP
1850693	Tanashi	35.72389	139.5222	JP
1853195	Sakai	34.58333	135.4667	JP
1860704	Kakogawa	34.76667	134.85	JP
1848004	Zama	35.48889	139.3886	JP
1849837	Toyonaka	34.78244	135.4693	JP
1849846	Toyohashi	34.76667	137.3833	JP
1907299	Asaka	35.80472	139.6019	JP
1865387	Amagasaki	34.71667	135.4167	JP
1848489	Yasu	35.06801	136.0233	JP
1865714	Ageo	35.96972	139.5886	JP
1848313	Yokosuka	35.28361	139.6672	JP
2111149	Sendai-shi	38.26889	140.8719	JP
1848373	Yokkaichi	34.96667	136.6167	JP
2130658	Aomori-shi	40.82444	140.74	JP
1857550	Matsue-shi	35.47222	133.0506	JP
1856177	Nagasaki-shi	32.74472	129.8736	JP
1860095	Kanzaki	33.3	130.3667	JP
1851100	Takamatsu-shi	34.34028	134.0433	JP
2128815	Obihiro	42.91722	143.2044	JP
1855863	Nakano	36.75	138.3667	JP
2129376	Kushiro	42.975	144.3747	JP
2129101	Muroran	42.31722	140.9881	JP
1849892	Tottori	35.5	134.2333	JP
1849563	Tsuruoka	38.72167	139.8217	JP
1855580	Naruto	34.18333	134.6167	JP
1857276	Miki	34.8	134.9833	JP
1854487	Oita-shi	33.23806	131.6125	JP
1859100	Kofu-shi	35.66389	138.5683	JP
1848903	Warabi	35.82639	139.7044	JP
1865005	Ashikaga	36.33333	139.45	JP
2130188	Hakodate	41.77583	140.7367	JP
1852607	Shibata	37.95	139.3333	JP
1859730	Kawaguchi	35.805	139.7206	JP
1850311	Tochigi	36.38333	139.7333	JP
1859146	Kochi-shi	33.55972	133.5311	JP
